,positions
12308,rnbqkbnr/1p2pppp/p2p4/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 0 4
12309,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2PP4/PP3PP1/RNBQKBNR w KQkq - 1 4
12310,rn1qkbnr/pbpppp1p/1p4p1/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12311,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/8/PP1NP1PP/R1BQKBNR w KQkq - 0 4
12312,rn1qkb1r/pbpppppp/1p3n2/8/8/3P1NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12313,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 4
12314,r1bqkb1r/pppp1ppp/2n1pn2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 2 4
12315,rnbqkbnr/3ppppp/p7/1pp5/4P3/1P6/PBPP2PP/RN1QKBNR w KQkq - 0 4
12316,r1bqkb1r/pppnpppp/3p1n2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12317,r1bqkbnr/ppp2ppp/2np4/4p3/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 0 4
12318,rnbqk1nr/ppp2ppp/4p3/3p4/1b1P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 2 4
12319,rn1qkbnr/pb1ppppp/1p6/2p5/4P3/1P1B4/P1PP2PP/RNBQK1NR w KQkq - 2 4
12320,rnbqkbnr/pp2p1pp/5p2/2pp4/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12321,rnbqkb1r/p1p1pppp/1p3n2/3p4/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12322,r1bqkbnr/pp2pppp/2np4/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 1 4
12323,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 0 4
12324,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/8/PPQ1P1PP/RNB1KBNR w KQkq - 2 4
12325,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12326,rnbqkb1r/p1pp1ppp/4pn2/1p6/8/2P2NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12327,r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12328,rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12329,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 0 4
12330,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12331,rnbqk2r/ppppbppp/4pn2/8/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12332,rnbqkb1r/pppppppp/1n6/4P3/8/6P1/PPPP3P/RNBQKBNR w KQkq - 1 4
12333,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 1 4
12334,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 3 4
12335,rnb1kbnr/ppqp1ppp/4p3/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12336,rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/5N2/PPPPQ1PP/RNB1KB1R w KQkq - 0 4
12337,r1bqkb1r/pppp1ppp/2n1pn2/8/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 1 4
12338,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 2 4
12339,r1bqkbnr/pp2pppp/2np4/2p5/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 0 4
12340,r1bqkbnr/pp2pppp/2np4/2p5/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 0 4
12341,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 4 4
12342,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 1 4
12343,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12344,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/6P1/PPPPN2P/RNBQKB1R w KQkq - 2 4
12345,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 2 4
12346,r1bqkb1r/p1pppppp/2n2n2/1p6/8/3P1NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12347,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12348,rnbqk2r/pppp1ppp/4pn2/8/1bP5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12349,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/5N1P/PPPP2P1/RNBQKB1R w KQkq - 1 4
12350,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/N4N2/PPPP2PP/R1BQKB1R w KQkq - 2 4
12351,rnbqkb1r/pppp2pp/4pn2/5p2/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 2 4
12352,r1bqkbnr/1pp1pppp/p1n5/3p4/3P1B2/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12353,rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12354,rnbqkb1r/ppp1pppp/5n2/8/3p4/P4NP1/1PPPP2P/RNBQKB1R w KQkq - 0 4
12355,rnbqk1nr/ppppp1bp/6p1/5p2/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12356,r1bqk1nr/pppp1ppp/2n5/4p3/1bP5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 3 4
12357,rnbqkb1r/ppppp2p/5np1/5p2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12358,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12359,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 2 4
12360,rnbqkbnr/ppp3pp/3p4/4pp2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12361,rnbqkbnr/pp3ppp/3pp3/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12362,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12363,rn1qkb1r/pbpppppp/1p3n2/8/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12364,r1bqk1nr/pppp1ppp/2n5/4p3/1bP5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12365,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12366,rnbqkb1r/pp1ppp1p/2p2np1/8/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12367,rn1qkbnr/pp2pppp/2p5/3p1b2/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12368,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12369,rnbqk1nr/ppp1bppp/3p4/4p3/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12370,rn1qkbnr/pb1ppppp/1p6/2p5/2P5/1P6/PB1PP1PP/RN1QKBNR w KQkq - 2 4
12371,rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 0 4
12372,rnbqkbnr/pp2ppp1/3p4/2p4p/4P3/6P1/PPPPN2P/RNBQKB1R w KQkq - 0 4
12373,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 1 4
12374,rnbqk1nr/pp1pbppp/8/2p1p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12375,rnbqk1nr/pppp1pbp/4p1p1/8/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12376,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 2 4
12377,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12378,rn1qkbnr/pp2pppp/2p5/3pPb2/8/2P5/PP1P2PP/RNBQKBNR w KQkq - 1 4
12379,rnbqkbnr/1p2pppp/p2p4/2p5/4P3/1P6/P1PPB1PP/RNBQK1NR w KQkq - 0 4
12380,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12381,rnbqkb1r/pp2pppp/2p2n2/3p4/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12382,r1bqkbnr/pp1p1ppp/2n5/2p1p3/4P3/2N5/PPPPQ1PP/R1B1KBNR w KQkq - 2 4
12383,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 2 4
12384,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 2 4
12385,rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/1P6/P1PP2PP/RNBQK1NR w KQkq - 2 4
12386,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1P1PP/RNBQKB1R w KQkq - 3 4
12387,r1bqkbnr/pp2pppp/2np4/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 0 4
12388,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12389,rn1qkbnr/pp2pppp/2p5/3p1b2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12390,rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/8/PPPN2PP/R1BQKBNR w KQkq - 0 4
12391,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12392,rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12393,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 1 4
12394,rnbqk1nr/pppp1pbp/6p1/4p3/2P1P3/6P1/PP1P3P/RNBQKBNR w KQkq - 1 4
12395,rnbqk1nr/ppp2ppp/3p4/2b1p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12396,rnbqkb1r/pp1p1ppp/2p1pn2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12397,rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 2 4
12398,rnbqkb1r/ppp1p1pp/5n2/3p1pB1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12399,rnbqk1nr/pppp1ppp/4p3/b7/2P5/1QN5/PP1PP1PP/R1B1KBNR w KQkq - 4 4
12400,rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/6P1/PP1P3P/RNBQKBNR w KQkq - 1 4
12401,rnbqk1nr/ppp2ppp/3p4/2b1p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12402,rn1qkbnr/pp2pppp/2p5/3p1b2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12403,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 2 4
12404,rnbqk2r/ppppppbp/5np1/8/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12405,rnbqkb1r/p1pp1ppp/1p2pn2/8/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12406,rnbqk2r/ppppppbp/5np1/8/8/2N2N1P/PPPPP1P1/R1BQKB1R w KQkq - 4 4
12407,rnbqk1nr/pppp1pbp/6p1/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12408,rnbqk1nr/ppp2ppp/3bp3/3p4/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 2 4
12409,rnbqk1nr/pppp1pbp/6p1/4p3/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12410,r1bqkbnr/pp2pppp/2n5/2pp4/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 1 4
12411,rnbqk1nr/ppp1ppbp/3p2p1/8/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12412,rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12413,rn1qkbnr/ppp1pppp/8/3p1b2/3P1B2/7P/PPP1P1P1/RN1QKBNR w KQkq - 1 4
12414,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/4PN2/PPPPB1PP/RNBQK2R w KQkq - 3 4
12415,rn1qkbnr/pbpp1ppp/4p3/1p6/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12416,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 4
12417,rnbqkbnr/pp3ppp/2p1p3/3p4/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12418,rnbqkb1r/ppp1pppp/8/3p3n/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12419,rnbqkb1r/pppp2pp/5n2/4pp2/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12420,rnbqkb1r/pppppp1p/8/6p1/3PnB2/8/PPP1P1PP/RN1QKBNR w KQkq - 0 4
12421,rn1qkbnr/ppp2ppp/4p3/3p1b2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12422,rnbqk1nr/ppp1ppbp/6p1/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12423,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12424,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 1 4
12425,rnbqkbnr/pp3ppp/2p1p3/3p4/8/4PN2/PPPPB1PP/RNBQK2R w KQkq - 0 4
12426,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/P4N2/1PP1P1PP/RNBQKB1R w KQkq - 0 4
12427,rn1qkbnr/pppb1ppp/4p3/3pP3/8/5N2/PPPP2PP/RNBQKB1R w KQkq - 1 4
12428,rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 2 4
12429,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5N1P/PPPP2P1/RNBQKB1R w KQkq - 0 4
12430,rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/8/PP1NP1PP/R1BQKBNR w KQkq - 0 4
12431,r1bqkbnr/1p1ppppp/p1n5/2p5/P1B1P3/8/1PPP2PP/RNBQK1NR w KQkq - 1 4
12432,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12433,rnbqkb1r/ppp1p1pp/3p1n2/5p2/8/3P1NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12434,rn1qkbnr/pb1ppppp/1p6/2p5/8/1P3NP1/P1PPP2P/RNBQKB1R w KQkq - 1 4
12435,rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12436,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 1 4
12437,rnbqkb1r/pp1p1ppp/2p1pn2/8/8/2N1PN2/PPPP2PP/R1BQKB1R w KQkq - 2 4
12438,rnbqkbnr/pp3ppp/2p1p3/3p4/4P3/3P4/PPP1Q1PP/RNB1KBNR w KQkq - 0 4
12439,r1bqkb1r/pppp1ppp/2n1pn2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12440,rnbqkb1r/pppp1p1p/5np1/4p3/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 0 4
12441,r1bqkb1r/pp1ppppp/2n2n2/1Bp5/4P3/1P6/P1PP2PP/RNBQK1NR w KQkq - 3 4
12442,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 3 4
12443,rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12444,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12445,rnbqk1nr/ppppp1bp/6p1/5p2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12446,rnbqk1nr/ppp2ppp/3p4/2b1p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12447,rn1qkb1r/pbpppppp/1p3n2/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12448,rn1qkbnr/ppp1pppp/8/3pNb2/8/6P1/PPPPP2P/RNBQKB1R w KQkq - 3 4
12449,rnbqkbnr/2pp1ppp/p3p3/1p6/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12450,rnbqkbnr/pp2pp1p/2p3p1/3p4/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12451,rnbqk1nr/pppp1pbp/6p1/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12452,rnbqkbnr/ppp3pp/4pp2/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12453,r1bqkbnr/pp2pppp/2n5/2pp4/4P3/2PP4/PP3PP1/RNBQKBNR w KQkq - 1 4
12454,rnbqkb1r/pp2pppp/2p2n2/3p4/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 1 4
12455,r1bqk1nr/pppp1ppp/2n1p3/8/1bP5/1QN5/PP1PP1PP/R1B1KBNR w KQkq - 4 4
12456,rnbqkb1r/pp1ppp1p/2p2np1/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12457,rnbqkb1r/pppp2pp/5n2/4pp2/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12458,rnbqkb1r/1p1ppppp/p4n2/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 2 4
12459,rnbqk1nr/1ppp1ppp/8/p2Np3/1bP5/8/PP1PP1PP/R1BQKBNR w KQkq - 0 4
12460,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 0 4
12461,rnbqkbnr/p3pppp/1p1p4/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12462,rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2P2N2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12463,rnbqkb1r/ppp2ppp/3ppn2/8/3P4/5N1P/PPP1P1P1/RNBQKB1R w KQkq - 0 4
12464,rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 0 4
12465,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12466,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 2 4
12467,rn1qkb1r/ppp1pppp/5n2/3p4/3P2b1/5NP1/PPP1P2P/RNBQKB1R w KQkq - 2 4
12468,r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12469,rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12470,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12471,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P5/PP1P2PP/RNBQKBNR w KQkq - 1 4
12472,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12473,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 1 4
12474,rnbqkbnr/ppp3pp/3pp3/3P1p2/8/5N2/PPP1P1PP/RNBQKB1R w KQkq - 0 4
12475,r1bqkbnr/pp1ppp1p/2n3p1/2p5/P3P3/2N5/1PPP2PP/R1BQKBNR w KQkq - 2 4
12476,r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12477,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12478,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/2N3P1/PPP1P2P/R1BQKBNR w KQkq - 1 4
12479,rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12480,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 0 4
12481,r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/N7/PPPP2PP/R1BQK1NR w KQkq - 0 4
12482,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1Q3N2/PP1PP1PP/RNB1KB1R w KQkq - 2 4
12483,rnbqk1nr/pppp1pbp/6p1/4p3/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 0 4
12484,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2N5/PPPP2PP/R1BQK1NR w KQkq - 4 4
12485,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12486,rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12487,rnbqkb1r/pppp1pp1/5n1p/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12488,r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/5N2/PPPP2PP/RNBQK2R w KQkq - 2 4
12489,rnbqkbnr/pp2pppp/8/2p5/3pP3/1P6/PBPP2PP/RN1QKBNR w KQkq - 0 4
12490,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12491,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPPQ1PP/R1B1KBNR w KQkq - 2 4
12492,rnbqkb1r/pppp1ppp/5n2/8/3Pp3/4P3/PPP1N1PP/RNBQKB1R w KQkq - 2 4
12493,rnbqkbnr/pp3ppp/4p3/2ppP3/8/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4
12494,rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/P4N2/1PP1P1PP/RNBQKB1R w KQkq - 0 4
12495,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P5/PP1PQ1PP/RNB1KBNR w KQkq - 1 4
12496,rnbqkb1r/pp2pppp/2pp1n2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12497,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12498,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12499,r1bqkbnr/pp1ppp1p/2n3p1/2p5/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12500,rnbqkb1r/ppp1pp1p/5np1/3p4/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 0 4
12501,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12502,r1bqkb1r/pppp1ppp/2n1pn2/8/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12503,rnbqk2r/ppppppbp/5np1/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 3 4
12504,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12505,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12506,rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12507,rnbqkb1r/ppppp2p/5np1/5p2/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12508,r1bqkbnr/pp2pppp/2np4/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12509,rnbqk2r/ppppppbp/5np1/8/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12510,rnbqkb1r/2pppppp/p4n2/1p6/8/N4NP1/PPPPP2P/R1BQKB1R w KQkq - 0 4
12511,rnbqkb1r/pp2pppp/2p2n2/3p4/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12512,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 2 4
12513,rnbqk1nr/1ppp1ppp/8/p1b1p3/2P5/P5P1/1P1PP2P/RNBQKBNR w KQkq - 0 4
12514,rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 4 4
12515,rnbqkbnr/ppp2p1p/6p1/3pp3/8/3P2P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12516,rnbqkb1r/pp1p1ppp/2p1pn2/8/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12517,rnbqkbnr/pp3ppp/4p3/2pp4/2B1P3/5N2/PPPP2PP/RNBQK2R w KQkq - 0 4
12518,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/8/PPP1N1PP/RNBQKB1R w KQkq - 2 4
12519,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 2 4
12520,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 2 4
12521,rnbqk1nr/pp1pbppp/4p3/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 1 4
12522,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P4/PPP1Q1PP/RNB1KBNR w KQkq - 2 4
